Nhóm hàng,Nhóm ngành,Nhóm sản phẩm cấp 1,Nhóm sản phẩm cấp 2,Mã hàng,Tên hàng,SL Bán,Doanh thu,SL Trả,Giá trị trả,Doanh thu thuần,Tổng giá vốn,Lợi nhuận,Tỷ suất
ĐỒ LÓT >> Bộ lót,ĐỒ LÓT,Bộ lót,,S083XLU38,Bộ lót ren không gọng không đệm viền ren mỏng xanh lục 38,3,969595,0,0,969595,379473,590122, 60.86% 
ĐỒ LÓT >> Bộ lót,ĐỒ LÓT,Bộ lót,,AM116DE34,Bộ lót phối ren không gọng đệm vừa màu đen 34,5,1600201,2,-597216,1002985,415353,587632, 58.59% 
ĐỒ LÓT >> Bộ lót,ĐỒ LÓT,Bộ lót,,S092XLU36,Bộ lót ren không gọng đệm vừa love secret xanh lục 36,3,824970,0,0,824970,241656,583314, 70.71% 
ĐỒ LÓT >> Bộ lót,ĐỒ LÓT,Bộ lót,,CH32DE32,Bộ lót ren họa tiết hoa không gọng đệm dày màu đen 32,5,1412744,1,-320000,1092744,509949,582795, 53.33% 
ĐỒ LÓT >> Bộ lót,ĐỒ LÓT,Bộ lót,,S089BE38,Bộ lót không gọng đệm dày dây ba có nơ be 38,3,871086,0,0,871086,289590,581496, 66.76% 
ĐỒ LÓT >> Bộ lót,ĐỒ LÓT,Bộ lót,,S020G38,Bộ lót su ren không gọng đệm mỏng ghi 38,4,1000000,1,-250000,750000,168602,581398, 77.52% 
ĐỒ LÓT >> Bộ lót,ĐỒ LÓT,Bộ lót,,S113DD34,Bộ lót ren có gọng xuyên thấu dây bèo ren đỏ đậm 34,4,1360800,1,-360000,1000800,419916,580884, 58.04% 
ĐỒ LÓT >> Bộ lót,ĐỒ LÓT,Bộ lót,,S050HTI34,Bộ lót bra ren hoa không gọng đệm mỏng hồng tím 34,3,1059149,0,0,1059149,480267,578882, 54.66% 
ĐỒ LÓT >> Bộ lót,ĐỒ LÓT,Bộ lót,,AM114XLU34,Bộ lót ren su không gọng đệm vừa xanh lục 34,4,1089721,0,0,1089721,510942,578779, 53.11% 
ĐỒ LÓT >> Bộ lót,ĐỒ LÓT,Bộ lót,,S051HP38,Bộ lót ren có gọng xuyên thấu hình hoa hồng 38,4,1296380,1,-335000,961380,389108,572272, 59.53% 
ĐỒ LÓT >> Bộ lót,ĐỒ LÓT,Bộ lót,,Am128G36,Bộ lót ren su không gọng đệm mỏng màu ghi 36,4,1025284,0,0,1025284,454247,571037, 55.70% 
ĐỒ LÓT >> Bộ lót,ĐỒ LÓT,Bộ lót,,S041zBE32,Bộ lót ren dây kép TMĐT không gọng đệm vừa be 32,4,898000,0,0,898000,329298,568702, 63.33% 
ĐỒ LÓT >> Bộ lót,ĐỒ LÓT,Bộ lót,,AM122NA36,Bộ lót ren không gọng đệm dày dây đan trước nâu 36,4,1048693,0,0,1048693,482796,565897, 53.96% 
ĐỒ LÓT >> Bộ lót,ĐỒ LÓT,Bộ lót,,AN30DE34B,Bộ lót ren có gọng không đệm màu đen size 34B,4,993357,0,0,993357,428392,564965, 56.87% 
ĐỒ LÓT >> Bộ lót,ĐỒ LÓT,Bộ lót,,S092HP32,Bộ lót ren không gọng đệm vừa love secret hồng 32,3,828571,0,0,828571,264285,564286, 68.10% 
ĐỒ LÓT >> Bộ lót,ĐỒ LÓT,Bộ lót,,S072DN36,bộ lót len tăm nơ ngực không gọng đệm vừa đỏ nâu 36,4,986721,0,0,986721,424516,562205, 56.98% 
ĐỒ LÓT >> Bộ lót,ĐỒ LÓT,Bộ lót,,S152DE36,Bộ lót trơn mắt mèo không gọng den 36,2,644792,0,0,644792,86984,557808, 86.51% 
ĐỒ LÓT >> Bộ lót,ĐỒ LÓT,Bộ lót,,S054DT32,Bộ lót đệm vừa không gọng hình cherry 32,5,1035008,0,0,1035008,478715,556293, 53.75% 
ĐỒ LÓT >> Bộ lót,ĐỒ LÓT,Bộ lót,,S127V34,Bộ lót ren ô đệm dày không gọng vàng 34,4,1260000,1,-350000,910000,354410,555590, 61.05% 
ĐỒ LÓT >> Bộ lót,ĐỒ LÓT,Bộ lót,,S016G34,Bộ lót ren không gọng đệm dày dây đan ghi 34,3,878150,0,0,878150,322770,555380, 63.24% 
ĐỒ LÓT >> Bộ lót,ĐỒ LÓT,Bộ lót,,AM116DD32,Bộ lót phối ren không gọng đệm vừa màu đỏ đậm 32,5,1183000,0,0,1183000,628115,554885, 46.90% 
ĐỒ LÓT >> Bộ lót,ĐỒ LÓT,Bộ lót,,S068CA34,Bộ lót không gọng mỏng có ren lưới trước ngực cam 34,3,907707,0,0,907707,353007,554700, 61.11% 
ĐỒ LÓT >> Bộ lót,ĐỒ LÓT,Bộ lót,,S092DE36,Bộ lót ren không gọng đệm vừa love secret đen 36,3,793524,0,0,793524,241656,551868, 69.55% 
ĐỒ LÓT >> Bộ lót,ĐỒ LÓT,Bộ lót,,S033DE34,Bộ lót không gọng đệm vừa khuy cài trước đen 34,4,825141,0,0,825141,275736,549405, 66.58% 
ĐỒ LÓT >> Bộ lót,ĐỒ LÓT,Bộ lót,,S071CD34,Bộ lót nhung không gọng đệm vừa cam đất 34,4,1024131,0,0,1024131,478640,545491, 53.26% 
ĐỒ LÓT >> Bộ lót,ĐỒ LÓT,Bộ lót,,S051HP34,Bộ lót ren có gọng xuyên thấu hình hoa hồng 34,3,932568,0,0,932568,387819,544749, 58.41% 
ĐỒ LÓT >> Bộ lót,ĐỒ LÓT,Bộ lót,,AM114XLU32,Bộ lót ren su không gọng đệm vừa xanh lục 32,4,1079119,0,0,1079119,536726,542393, 50.26% 
ĐỒ LÓT >> Bộ lót,ĐỒ LÓT,Bộ lót,,AM45DD34,Bộ lót dây kép sexy có gọng đệm vừa màu đỏ đậm size 34,2,777000,0,0,777000,235157,541843, 69.74% 
ĐỒ LÓT >> Bộ lót,ĐỒ LÓT,Bộ lót,,AN30DE34C,Bộ lót ren có gọng không đệm màu đen size 34C,4,971795,0,0,971795,432784,539011, 55.47% 
ĐỒ LÓT >> Bộ lót,ĐỒ LÓT,Bộ lót,,S087DE34,Bộ lót ren không gọng đệm mỏng dây áo dính liền chéo sau lưng đen 34,2,700000,0,0,700000,161894,538106, 76.87% 
ĐỒ LÓT >> Bộ lót,ĐỒ LÓT,Bộ lót,,S062DD34,Bộ lót ren xuyên thấu không gọng mỏng dây chéo trước ngực đỏ đậm 34,4,1073211,1,-280000,793211,259622,533589, 67.27% 
ĐỒ LÓT >> Bộ lót,ĐỒ LÓT,Bộ lót,,S042T32,Bộ lót ren không đệm có gọng trắng 32,3,931077,0,0,931077,398901,532176, 57.16% 
ĐỒ LÓT >> Bộ lót,ĐỒ LÓT,Bộ lót,,AM128V36,Bộ lót ren su không gọng đệm mỏng màu vàng 36,3,858041,0,0,858041,327282,530759, 61.86% 
ĐỒ LÓT >> Bộ lót,ĐỒ LÓT,Bộ lót,,S003XG38,Bộ lót ren không gọng đệm vừa hoa viền tua rua màu xanh ghi 38,4,849799,0,0,849799,319746,530053, 62.37% 
ĐỒ LÓT >> Bộ lót,ĐỒ LÓT,Bộ lót,,CH32T32,Bộ lót ren họa tiết hoa không gọng đệm dày màu trắng 32,3,894520,0,0,894520,365099,529421, 59.18% 
ĐỒ LÓT >> Bộ lót,ĐỒ LÓT,Bộ lót,,S152BE38,Bộ lót trơn mắt mèo không gọng be 38,2,627573,0,0,627573,99494,528079, 84.15% 
ĐỒ LÓT >> Bộ lót,ĐỒ LÓT,Bộ lót,,S117DE36,Bộ lót ren có gọng đệm vừa quai ren đen 36,3,924269,0,0,924269,397494,526775, 56.99% 
